"symbol","price","final_signal","alignment_score","score","entry","setup_category","entry_quality","risk_reward","allowed","probability","trade_grade","target_price","stop_price","projected_option_gain","option_delta","option_gamma","option_iv","option_strike","market_regime","replay_outcome","bars_to_outcome","r_multiple","mae","mfe","reasons","trade_id","timestamp"
"SPY","756.42","HIGH CONVICTION BEARISH","-9.7","-14.8","VWAP_REJECTION","VWAP_REJECTION","LOW","0.57","False","55","AVOID","755.05","758.8","6.0","","","","","LOW_VOLATILITY","STOP_HIT","3","-1.0","0.82","0.2","[""Intraday bearish trend"", ""Bearish volume participation"", ""Strong bearish candle bodies""]","766b39d5-ae5f-47dd-a57d-dbe9d25ab71c","2026-06-03 09:16:23"
"ADBE","260.04","HIGH CONVICTION BEARISH","-8.5","-10","NO_ENTRY","NO_ENTRY","LOW","2.86","False","55","AVOID","265.74","258.04","54.6","-0.32180735655484727","0.005208691226575458","0.5019990076996461","240","HIGH_VOLATILITY","TARGET_HIT","1","1.91","0.31","0.67","[""Intraday bearish trend"", ""Strong bearish volatility expansion"", ""Confirmed downtrend phase""]","30661301-3e09-41f6-9c69-b7791d7a0741","2026-06-04 12:09:44"
"SPY","756.85","HIGH CONVICTION BULLISH","6.95","7.800000000000001","BREAKOUT","BREAKOUT","LOW","0.69","False","55","AVOID","758.48","754.48","6.0","","","","","LOW_VOLATILITY","STOP_HIT","3","-1.0","1.05","0.45","[""Strong relative strength"", ""EMA bullish"", ""EMA rising consistently""]","054a2017-1ff6-4926-a27a-007fe06ad623","2026-06-04 12:09:50"
"QQQ","733.52","HIGH CONVICTION BEARISH","-7.95","-11.8","COILED_BREAKDOWN","COILED_BREAKDOWN","HIGH","1.21","False","55","AVOID","731.8","734.94","6.0","","","","","LOW_VOLATILITY","STOP_HIT","3","-1.0","2.13","0","[""Relative weakness vs market"", ""Intraday bearish trend"", ""Strong bearish relative volume"", ""Bearish volume participation""]","72c39d35-166c-4eb5-93f7-9fcf2b8bbc63","2026-06-05 06:43:11"
"SPY","754.28","BEARISH","-5.95","-7.8","COILED_BREAKDOWN","COILED_BREAKDOWN","HIGH","1.64","True","75","B","753.31","754.87","6.0","","","","","LOW_VOLATILITY","STOP_HIT","3","-1.0","1.11","0","[""Intraday bearish trend"", ""Strong bearish relative volume"", ""Bearish volume participation"", ""Low volatility / possible chop"", ""Reduced score due to low volatility""]","8469375a-6d4b-4f33-b23c-d769d1063905","2026-06-05 06:43:13"
"QQQ","733.45","HIGH CONVICTION BEARISH","-5.3","-5.2","NO_ENTRY","NO_ENTRY","NONE","3.0","True","91","A+","735.2","732.87","6.0","","","","","LOW_VOLATILITY","STOP_HIT","3","-1.0","1.7","0.24","[""Relative weakness vs market"", ""Intraday bearish trend"", ""Bearish volume participation""]","0e7795ab-93c7-4cc5-a597-8a7b10e19966","2026-06-05 06:56:54"
"QQQ","733.14","HIGH CONVICTION BEARISH","-8.7","-10.8","NO_ENTRY","NO_ENTRY","NONE","3.0","True","95","A+","734.8","732.59","6.0","","","","","LOW_VOLATILITY","STOP_HIT","3","-1.0","2.17","0.16","[""Relative weakness vs market"", ""Intraday bearish trend"", ""Bearish volume participation"", ""Confirmed downtrend phase""]","e0f57eb2-0bc7-4cbb-b236-c28b1c2fe4f5","2026-06-05 07:07:39"
"SPY","754.1","HIGH CONVICTION BEARISH","-8.2","-8.8","EMA_REJECTION_SHORT","EMA_REJECTION_SHORT","HIGH","3.0","True","95","A+","755.05","753.78","6.0","","","","","LOW_VOLATILITY","STOP_HIT","3","-1.0","0.97","0.25","[""Intraday bearish trend"", ""Bearish volume participation"", ""Strong bearish candle bodies"", ""Confirmed downtrend phase""]","5ef81f89-0dc1-4cf3-841b-b1f822ac7d48","2026-06-05 07:07:42"
"QQQ","733.23","HIGH CONVICTION BEARISH","-8.7","-10.8","NO_ENTRY","NO_ENTRY","NONE","3.0","True","95","A+","734.86","732.69","6.0","","","","","LOW_VOLATILITY","STOP_HIT","3","-1.0","2.15","0.23","[""Relative weakness vs market"", ""Intraday bearish trend"", ""Bearish volume participation"", ""Confirmed downtrend phase""]","f5f66a99-42ce-4723-8d2b-98fe1e9c262b","2026-06-05 07:09:00"
"SPY","754.12","HIGH CONVICTION BEARISH","-8.2","-8.8","NO_ENTRY","NO_ENTRY","NONE","3.0","True","95","A+","755.03","753.82","6.0","","","","","LOW_VOLATILITY","STOP_HIT","3","-1.0","1.16","0.06","[""Intraday bearish trend"", ""Bearish volume participation"", ""Strong bearish candle bodies""]","c6ec81bc-dd4d-4b36-9e5f-614323ed71b2","2026-06-05 07:09:02"
"SPY","753.49","HIGH CONVICTION BEARISH","-7.55","-10.2","COILED_BREAKDOWN","COILED_BREAKDOWN","LOW","1.17","False","55","AVOID","752.14","754.63","6.0","","","","","LOW_VOLATILITY","STOP_HIT","3","-1.0","0.63","0","[""Relative weakness vs market"", ""Intraday bearish trend"", ""Strong bearish relative volume"", ""Bearish volume participation""]","9855cb09-d14c-44e2-a5b5-7babb9da8251","2026-06-05 07:59:29"
